Invoice No.,Vendor Name,Address,Phone No,Mail,Date,Item/Material Name,Quantity,Unit,Unit Price,Tax Amount,Total Price,Payment Terms,Status,Due Date
INV000135,Organic Fruits Co.,"192 Frank Light Suite 835, East Lydiamouth, MO 35594",8185553300,praviiabi@gmail.com,03-01-2024,Butter,55,kg,1.53,3.9,88.05,Net 45,Approved,17-02-2024
INV000039,FreshFarm Produce,"386 Shane Harbors, Port Lindachester, MA 36922",2125551034,praviiabi@gmail.com,10-12-2024,Tomatoes,123,kg,21.64,76.19,2737.91,Net 15,Approved,25-12-2024
INV000137,Organic Fruits Co.,"192 Frank Light Suite 835, East Lydiamouth, MO 35594",8185553300,praviiabi@gmail.com,06-05-2024,Ice Cream Base,13,liters,3.85,1.37,51.42,Net 60,Approved,05-07-2024
INV000138,MeatMaster Co,"71822 Arroyo Expressway, Allisonchester, IL 71187",3235552290,praviiabi@gmail.com,17-05-2024,Spinach,100,kg,9.43,108.22,1051.22,Net 15,Approved,01-06-2024
INV000139,Unknown Vendor Co.,"3421 Brennan Walks Suite 337, Kevinbury, IN 03602",'+1-636-454-1458x68501,praviiabi@gmail.com,16-11-2024,Butter,2,kg,5.11,0.91,11.13,Net 15,Approved,01-12-2024
INV000140,DessertCart,"433 Jill Springs, New Roberttown, CO 29158",9175552233,praviiabi@gmail.com,26-03-2025,Sugar,96,kg,19.06,96.47,1926.23,Net 60,Approved,25-05-2025
INV000141,MeatMaster Co,"71822 Arroyo Expressway, Allisonchester, IL 71187",3235552290,praviiabi@gmail.com,25-07-2024,Green Peas,84,kg,23.54,87.2,2064.56,Net 60,Approved,23-09-2024
INV000142,SpiceHub,"76724 John Points Suite 969, Coxberg, NY 65187",4085559921,praviiabi@gmail.com,30-01-2024,Turmeric,117,grams,23.48,238.25,2985.41,Net 15,Approved,14-02-2024
INV000143,SeaCatch Ltd.,"22691 James Mountain, Tashatown, TX 94967",7135558321,praviiabi@gmail.com,25-03-2024,Green Peas,23,kg,17.59,39.89,444.46,Net 15,Approved,09-04-2024
INV000144,FreshFarm Produce,"386 Shane Harbors, Port Lindachester, MA 36922",2125551034,praviiabi@gmail.com,08-04-2025,Bread,112,pieces,3.05,32.69,374.29,Net 60,Approved,07-06-2025
INV000145,DessertCart,"433 Jill Springs, New Roberttown, CO 29158",9175552233,praviiabi@gmail.com,03-12-2024,Green Peas,123,kg,16.77,169.15,2231.86,Net 30,Approved,02-01-2025
INV000146,OilWell Traders,"341 Michelle Light, Shawnstad, GA 49021",4155557832,praviiabi@gmail.com,25-09-2024,Eggs,24,pieces,10.96,23.03,286.07,Net 45,Approved,09-11-2024
INV000147,FreshFarm Produce,"386 Shane Harbors, Port Lindachester, MA 36922",2125551034,praviiabi@gmail.com,31-08-2024,Prawns,92,kg,18.74,38.64,1762.72,Net 15,Approved,15-09-2024
INV000148,SpiceHub,"76724 John Points Suite 969, Coxberg, NY 65187",4085559921,praviiabi@gmail.com,04-12-2024,Eggs,72,pieces,15.48,80.95,1195.51,Net 30,Approved,03-01-2025
INV000149,Golden Grains,"16155 Roman Stream Suite 816, New Kellystad, OK 25704",3125556754,praviiabi@gmail.com,15-04-2025,Vanilla Essence,116,ml,5.08,31.49,620.77,Net 60,Pending,14-06-2025
INV000150,SeaCatch Ltd.,"22691 James Mountain, Tashatown, TX 94967",7135558321,praviiabi@gmail.com,01-02-2025,Mint Leaves,45,grams,3.45,17.39,172.64,Net 30,Approved,03-03-2025
INV000151,OilWell Traders,"341 Michelle Light, Shawnstad, GA 49021",4155557832,praviiabi@gmail.com,30-03-2024,Prawns,36,kg,2.8,3.47,104.27,Net 15,Approved,14-04-2024
INV000152,SpiceHub,"76724 John Points Suite 969, Coxberg, NY 65187",4085559921,praviiabi@gmail.com,26-10-2024,Cumin,20,grams,17.57,27.08,378.48,Net 30,Approved,25-11-2024
INV000153,FreshFarm Produce,"386 Shane Harbors, Port Lindachester, MA 36922",2125551034,praviiabi@gmail.com,23-03-2025,Carrots,57,kg,9.85,40.31,601.76,Net 30,Pending,22-04-2025
INV000154,Organic Fruits Co.,"192 Frank Light Suite 835, East Lydiamouth, MO 35594",8185553300,praviiabi@gmail.com,27-05-2024,Mint Leaves,133,grams,18.83,105.1,2609.49,Net 45,Approved,11-07-2024
INV000155,Golden Grains,"16155 Roman Stream Suite 816, New Kellystad, OK 25704",3125556754,praviiabi@gmail.com,16-07-2024,Soft Drink Syrup,29,liters,24.83,31.42,751.49,Net 60,Rejected,14-09-2024
INV000156,Golden Grains,"16155 Roman Stream Suite 816, New Kellystad, OK 25704",3125556754,praviiabi@gmail.com,04-02-2024,Yogurt,90,kg,20.36,74.79,1907.19,Net 30,Rejected,05-03-2024
INV000157,Dairy Delights,"809 Burns Creek, Natashaport, IA 08093",6465551188,praviiabi@gmail.com,04-12-2024,Cooking Oil,108,liters,19.74,62.45,2194.37,Net 30,Approved,03-01-2025
INV000158,Dairy Delights,"809 Burns Creek, Natashaport, IA 08093",6465551188,praviiabi@gmail.com,02-01-2024,Ice Cream Base,37,liters,11.41,38.68,460.85,Net 15,Approved,17-01-2024
INV000159,Organic Fruits Co.,"192 Frank Light Suite 835, East Lydiamouth, MO 35594",8185553300,praviiabi@gmail.com,07-02-2025,Cooking Oil,43,liters,18.17,68.33,849.64,Net 15,Approved,22-02-2025
INV000160,Golden Grains,"16155 Roman Stream Suite 816, New Kellystad, OK 25704",3125556754,praviiabi@gmail.com,22-02-2025,Cooking Oil,103,liters,15.04,167.46,1716.58,Net 60,Approved,23-04-2025
INV000161,Organic Fruits Co.,"192 Frank Light Suite 835, East Lydiamouth, MO 35594",8185553300,praviiabi@gmail.com,02-06-2024,Butter,10,kg,10.83,8.58,116.88,Net 60,Approved,01-08-2024
INV000162,OilWell Traders,"341 Michelle Light, Shawnstad, GA 49021",4155557832,praviiabi@gmail.com,09-10-2024,Bacon,89,kg,2.98,23.78,289,Net 15,Approved,24-10-2024
INV000163,FreshFarm Produce,"386 Shane Harbors, Port Lindachester, MA 36922",2125551034,praviiabi@gmail.com,30-11-2024,Fish Fillet,19,kg,21.6,47.47,457.87,Net 30,Approved,30-12-2024
INV000164,SeaCatch Ltd.,"22691 James Mountain, Tashatown, TX 94967",7135558321,praviiabi@gmail.com,24-02-2024,Lettuce,46,kg,15.96,42.43,776.59,Net 60,Approved,24-04-2024
INV000165,SpiceHub,"76724 John Points Suite 969, Coxberg, NY 65187",4085559921,praviiabi@gmail.com,30-05-2025,Ice Cream Base,23,liters,22.51,55.15,572.88,Net 30,Approved,29-06-2025
INV000166,DessertCart,"433 Jill Springs, New Roberttown, CO 29158",9175552233,praviiabi@gmail.com,13-09-2024,Olive Oil,108,liters,19.37,212.43,2304.39,Net 30,Approved,13-10-2024
INV000167,DessertCart,"433 Jill Springs, New Roberttown, CO 29158",9175552233,praviiabi@gmail.com,29-04-2025,Ice Cream Base,146,liters,24.85,209.23,3837.33,Net 30,Pending,29-05-2025
INV000168,DessertCart,"433 Jill Springs, New Roberttown, CO 29158",9175552233,praviiabi@gmail.com,31-08-2024,Vanilla Essence,19,ml,4.15,2.1,80.95,Net 60,Rejected,30-10-2024
INV000169,FreshFarm Produce,"386 Shane Harbors, Port Lindachester, MA 36922",2125551034,praviiabi@gmail.com,30-05-2025,Lemon,60,pieces,24.77,87.56,1573.76,Net 45,Rejected,14-07-2025
INV000170,FreshFarm Produce,"386 Shane Harbors, Port Lindachester, MA 36922",2125551034,praviiabi@gmail.com,06-04-2024,Cumin,91,grams,21.41,69.6,2017.91,Net 60,Approved,05-06-2024
INV000171,SeaCatch Ltd.,"22691 James Mountain, Tashatown, TX 94967",7135558321,praviiabi@gmail.com,21-08-2024,Soft Drink Syrup,7,liters,8.3,5.53,63.63,Net 30,Approved,20-09-2024
INV000172,BeverageBay,"514 Moore Alley Suite 828, Port Colleenhaven, PA 26572",6465559911,praviiabi@gmail.com,28-01-2025,Cumin,73,grams,11.44,80.63,915.75,Net 45,Approved,14-03-2025
INV000173,Golden Grains,"16155 Roman Stream Suite 816, New Kellystad, OK 25704",3125556754,praviiabi@gmail.com,28-08-2024,Mushrooms,16,kg,21.06,30.98,367.94,Net 15,Approved,12-09-2024
INV000174,BeverageBay,"514 Moore Alley Suite 828, Port Colleenhaven, PA 26572",6465559911,praviiabi@gmail.com,13-11-2024,Mint Leaves,93,grams,14.05,82.94,1389.59,Net 30,Approved,13-12-2024
INV000175,OilWell Traders,"341 Michelle Light, Shawnstad, GA 49021",4155557832,praviiabi@gmail.com,10-09-2024,Salt,125,kg,13.78,88.14,1810.64,Net 30,Approved,10-10-2024
INV000176,MeatMaster Co,"71822 Arroyo Expressway, Allisonchester, IL 71187",3235552290,praviiabi@gmail.com,08-11-2024,Green Peas,76,kg,4.61,13.04,363.4,Net 45,Approved,23-12-2024
INV000177,SpiceHub,"76724 John Points Suite 969, Coxberg, NY 65187",4085559921,praviiabi@gmail.com,17-08-2024,Chicken Breast,148,kg,3.42,19.66,525.82,Net 45,Approved,01-10-2024
INV000178,BeverageBay,"514 Moore Alley Suite 828, Port Colleenhaven, PA 26572",6465559911,praviiabi@gmail.com,06-03-2025,Mushrooms,13,kg,9.09,12.27,130.44,Net 15,Rejected,21-03-2025
INV000179,Golden Grains,"16155 Roman Stream Suite 816, New Kellystad, OK 25704",3125556754,praviiabi@gmail.com,08-04-2024,Cooking Oil,116,liters,13.14,165.18,1689.42,Net 60,Rejected,07-06-2024
INV000180,Organic Fruits Co.,"192 Frank Light Suite 835, East Lydiamouth, MO 35594",8185553300,praviiabi@gmail.com,29-05-2024,Pasta,120,kg,13.74,79.73,1728.53,Net 60,Approved,28-07-2024
INV000181,BeverageBay,"514 Moore Alley Suite 828, Port Colleenhaven, PA 26572",6465559911,praviiabi@gmail.com,22-11-2024,Mutton,76,kg,24.76,79.23,1960.99,Net 30,Approved,22-12-2024
INV000182,SpiceHub,"76724 John Points Suite 969, Coxberg, NY 65187",4085559921,praviiabi@gmail.com,21-10-2024,Chicken Breast,46,kg,7.88,16.62,379.1,Net 45,Approved,05-12-2024
INV000183,Golden Grains,"16155 Roman Stream Suite 816, New Kellystad, OK 25704",3125556754,praviiabi@gmail.com,15-05-2024,Bread,64,pieces,11.66,47.16,793.4,Net 30,Approved,14-06-2024
INV000184,DessertCart,"433 Jill Springs, New Roberttown, CO 29158",9175552233,praviiabi@gmail.com,23-04-2025,Turmeric,27,grams,18.65,18.53,522.08,Net 60,Rejected,22-06-2025
INV000185,SpiceHub,"76724 John Points Suite 969, Coxberg, NY 65187",4085559921,praviiabi@gmail.com,18-03-2025,Potatoes,7,kg,7.73,3.42,57.53,Net 60,Approved,17-05-2025
INV000186,Golden Grains,"16155 Roman Stream Suite 816, New Kellystad, OK 25704",3125556754,praviiabi@gmail.com,21-08-2024,Ice Cream Base,54,liters,2.27,5.32,127.9,Net 45,Approved,05-10-2024
INV000187,MeatMaster Co,"71822 Arroyo Expressway, Allisonchester, IL 71187",3235552290,praviiabi@gmail.com,11-11-2024,Garlic,52,kg,6.22,8.56,332,Net 30,Rejected,11-12-2024
INV000188,SeaCatch Ltd.,"22691 James Mountain, Tashatown, TX 94967",7135558321,praviiabi@gmail.com,01-03-2025,Cheese,69,kg,20.82,130.88,1567.46,Net 60,Pending,30-04-2025
INV000189,OilWell Traders,"341 Michelle Light, Shawnstad, GA 49021",4155557832,praviiabi@gmail.com,01-01-2024,Soft Drink Syrup,95,liters,13.52,79.89,1364.29,Net 15,Approved,16-01-2024
INV000190,BeverageBay,"514 Moore Alley Suite 828, Port Colleenhaven, PA 26572",6465559911,praviiabi@gmail.com,24-08-2024,Tomatoes,13,kg,10.61,7.35,145.28,Net 15,Approved,08-09-2024
INV000191,Golden Grains,"16155 Roman Stream Suite 816, New Kellystad, OK 25704",3125556754,praviiabi@gmail.com,10-08-2024,Flour,43,kg,1.74,6.02,80.84,Net 60,Approved,09-10-2024
INV000192,MeatMaster Co,"71822 Arroyo Expressway, Allisonchester, IL 71187",3235552290,praviiabi@gmail.com,12-06-2024,Black Pepper,69,grams,13.62,39.69,979.47,Net 45,Approved,27-07-2024
INV000193,FreshFarm Produce,"386 Shane Harbors, Port Lindachester, MA 36922",2125551034,praviiabi@gmail.com,29-11-2024,Cumin,111,grams,20.12,212.79,2446.11,Net 15,Rejected,14-12-2024
INV000194,Organic Fruits Co.,"192 Frank Light Suite 835, East Lydiamouth, MO 35594",8185553300,praviiabi@gmail.com,26-03-2025,Salt,147,kg,17.57,287.5,2870.29,Net 45,Approved,10-05-2025
INV000195,FreshFarm Produce,"386 Shane Harbors, Port Lindachester, MA 36922",2125551034,praviiabi@gmail.com,16-04-2025,Butter,60,kg,22.11,34.94,1361.54,Net 45,Approved,31-05-2025
INV000196,Organic Fruits Co.,"192 Frank Light Suite 835, East Lydiamouth, MO 35594",8185553300,praviiabi@gmail.com,23-05-2025,Soft Drink Syrup,54,liters,6.99,31.9,409.36,Net 30,Approved,22-06-2025
INV000197,Dairy Delights,"809 Burns Creek, Natashaport, IA 08093",6465551188,praviiabi@gmail.com,07-09-2024,Ice Cream Base,98,liters,17.81,182.99,1928.37,Net 30,Approved,07-10-2024
INV000198,OilWell Traders,"341 Michelle Light, Shawnstad, GA 49021",4155557832,praviiabi@gmail.com,27-12-2024,Sugar,67,kg,10.34,1274.37,1967.15,Net 30,Rejected,26-01-2025
INV000199,SpiceHub,"76724 John Points Suite 969, Coxberg, NY 65187",4085559921,praviiabi@gmail.com,09-12-2024,Black Pepper,8,grams,16.15,4.65,133.85,Net 15,Approved,24-12-2024
INV000200,SeaCatch Ltd.,"22691 James Mountain, Tashatown, TX 94967",7135558321,praviiabi@gmail.com,09-12-2024,Garlic,10,kg,18.8,17.58,205.58,Net 45,Approved,23-01-2025
INV000201,SeaCatch Ltd.,"22691 James Mountain, Tashatown, TX 94967",7135558321,praviiabi@gmail.com,14-06-2024,Mint Leaves,75,grams,20.49,110.75,1647.5,Net 15,Approved,29-06-2024
INV000202,MeatMaster Co,"71822 Arroyo Expressway, Allisonchester, IL 71187",3235552290,praviiabi@gmail.com,01-02-2025,Ice Cream Base,89,liters,19.07,108.01,1805.24,Net 30,Approved,03-03-2025
INV000203,FreshFarm Produce,"386 Shane Harbors, Port Lindachester, MA 36922",2125551034,praviiabi@gmail.com,02-01-2025,Banana,24,kg,20.11,29.09,511.73,Net 30,Approved,01-02-2025
INV000204,SeaCatch Ltd.,"22691 James Mountain, Tashatown, TX 94967",7135558321,praviiabi@gmail.com,11-05-2024,Cream,99,liters,15.03,143.41,1631.38,Net 60,Approved,10-07-2024
INV000205,BeverageBay,"514 Moore Alley Suite 828, Port Colleenhaven, PA 26572",6465559911,praviiabi@gmail.com,26-05-2025,Lemon,87,pieces,16.72,119.89,1574.53,Net 30,Pending,25-06-2025
INV000206,MeatMaster Co,"71822 Arroyo Expressway, Allisonchester, IL 71187",3235552290,praviiabi@gmail.com,06-03-2024,Flour,22,kg,18.71,14.71,426.33,Net 30,Rejected,05-04-2024
INV000207,FreshFarm Produce,"386 Shane Harbors, Port Lindachester, MA 36922",2125551034,praviiabi@gmail.com,08-08-2024,Cream,71,liters,21.05,56.21,1550.76,Net 45,Approved,22-09-2024
INV000208,SpiceHub,"76724 John Points Suite 969, Coxberg, NY 65187",4085559921,praviiabi@gmail.com,04-02-2025,Chocolate Sauce,47,liters,21.19,51.63,1047.56,Net 45,Approved,21-03-2025
INV000209,BeverageBay,"514 Moore Alley Suite 828, Port Colleenhaven, PA 26572",6465559911,praviiabi@gmail.com,30-05-2025,Flour,18,kg,19.63,12.09,365.43,Net 45,Approved,14-07-2025
INV000210,FreshFarm Produce,"386 Shane Harbors, Port Lindachester, MA 36922",2125551034,praviiabi@gmail.com,06-05-2025,Cooking Oil,87,liters,16.04,48.51,1443.99,Net 15,Rejected,21-05-2025
INV000211,DessertCart,"433 Jill Springs, New Roberttown, CO 29158",9175552233,praviiabi@gmail.com,25-04-2025,Green Peas,73,kg,2.36,18.69,190.97,Net 15,Rejected,10-05-2025
INV000212,DessertCart,"433 Jill Springs, New Roberttown, CO 29158",9175552233,praviiabi@gmail.com,17-09-2024,Tomatoes,117,kg,19.55,254.05,2541.4,Net 30,Approved,17-10-2024
INV000213,SeaCatch Ltd.,"22691 James Mountain, Tashatown, TX 94967",7135558321,praviiabi@gmail.com,13-03-2024,Garlic,59,kg,16.22,76.1,1033.08,Net 45,Approved,27-04-2024
INV000214,BeverageBay,"514 Moore Alley Suite 828, Port Colleenhaven, PA 26572",6465559911,praviiabi@gmail.com,01-07-2024,Wheat,72,kg,20.48,135.71,1610.27,Net 30,Approved,31-07-2024
INV000215,DessertCart,"433 Jill Springs, New Roberttown, CO 29158",9175552233,praviiabi@gmail.com,29-08-2024,Potatoes,134,kg,4.65,65.05,688.15,Net 60,Approved,28-10-2024
INV000216,BeverageBay,"514 Moore Alley Suite 828, Port Colleenhaven, PA 26572",6465559911,praviiabi@gmail.com,23-06-2024,Black Pepper,52,grams,19.63,51.25,1072.01,Net 45,Approved,07-08-2024
INV000217,FreshFarm Produce,"386 Shane Harbors, Port Lindachester, MA 36922",2125551034,praviiabi@gmail.com,03-06-2024,Spinach,111,kg,5.25,40.85,623.6,Net 30,Approved,03-07-2024
INV000218,Dairy Delights,"809 Burns Creek, Natashaport, IA 08093",6465551188,praviiabi@gmail.com,24-04-2024,Ginger,6,kg,17.38,7.75,112.03,Net 60,Approved,23-06-2024
INV000219,BeverageBay,"514 Moore Alley Suite 828, Port Colleenhaven, PA 26572",6465559911,praviiabi@gmail.com,19-01-2024,Salt,40,kg,21.07,75.81,918.61,Net 60,Rejected,19-03-2024
INV000220,Organic Fruits Co.,"192 Frank Light Suite 835, East Lydiamouth, MO 35594",8185553300,praviiabi@gmail.com,05-02-2024,Cumin,22,grams,2.58,5.21,61.97,Net 45,Approved,21-03-2024
INV000221,OilWell Traders,"341 Michelle Light, Shawnstad, GA 49021",4155557832,praviiabi@gmail.com,09-07-2024,Chili Powder,71,grams,24.67,166.31,1917.88,Net 15,Approved,24-07-2024
INV000222,Golden Grains,"16155 Roman Stream Suite 816, New Kellystad, OK 25704",3125556754,praviiabi@gmail.com,04-01-2025,Coriander,149,grams,1.76,18.13,280.37,Net 30,Approved,03-02-2025
INV000223,FreshFarm Produce,"386 Shane Harbors, Port Lindachester, MA 36922",2125551034,praviiabi@gmail.com,19-04-2025,Banana,26,kg,10.32,25.42,293.74,Net 15,Approved,04-05-2025
INV000224,Organic Fruits Co.,"192 Frank Light Suite 835, East Lydiamouth, MO 35594",8185553300,praviiabi@gmail.com,26-02-2024,Lemon,80,pieces,1.04,7.01,90.21,Net 60,Rejected,26-04-2024
INV000225,Dairy Delights,"809 Burns Creek, Natashaport, IA 08093",6465551188,praviiabi@gmail.com,19-12-2024,Wheat,68,kg,10.9,17.58,758.78,Net 45,Approved,02-02-2025
INV000226,Organic Fruits Co.,"192 Frank Light Suite 835, East Lydiamouth, MO 35594",8185553300,praviiabi@gmail.com,17-11-2024,Ice Cream Base,8,liters,1.67,0.44,13.8,Net 45,Approved,01-01-2025
INV000227,SpiceHub,"76724 John Points Suite 969, Coxberg, NY 65187",4085559921,praviiabi@gmail.com,04-05-2025,Cooking Oil,85,liters,17.16,144.83,1603.43,Net 15,Approved,19-05-2025
INV000228,MeatMaster Co,"71822 Arroyo Expressway, Allisonchester, IL 71187",3235552290,praviiabi@gmail.com,23-03-2025,Ginger,118,kg,17.64,94.23,2175.75,Net 15,Approved,07-04-2025
INV000229,FreshFarm Produce,"386 Shane Harbors, Port Lindachester, MA 36922",2125551034,praviiabi@gmail.com,31-05-2024,Garlic,91,kg,5.56,57.89,563.85,Net 45,Approved,15-07-2024
INV000230,SeaCatch Ltd.,"22691 James Mountain, Tashatown, TX 94967",7135558321,praviiabi@gmail.com,25-10-2024,Chicken Breast,5,kg,10.34,2.15,53.85,Net 15,Approved,09-11-2024
INV000231,OilWell Traders,"341 Michelle Light, Shawnstad, GA 49021",4155557832,praviiabi@gmail.com,18-01-2025,Soda Water,20,liters,14.39,9.65,297.45,Net 45,Approved,04-03-2025
INV000232,FreshFarm Produce,"386 Shane Harbors, Port Lindachester, MA 36922",2125551034,praviiabi@gmail.com,06-11-2024,Mint Leaves,76,grams,12.08,51.97,970.05,Net 30,Approved,06-12-2024
INV000233,DessertCart,"433 Jill Springs, New Roberttown, CO 29158",9175552233,praviiabi@gmail.com,08-07-2024,Chili Powder,111,grams,11.26,111.39,1361.25,Net 45,Approved,22-08-2024
INV000234,MeatMaster Co,"71822 Arroyo Expressway, Allisonchester, IL 71187",3235552290,praviiabi@gmail.com,24-04-2024,Soda Water,49,liters,13.62,41.65,709.03,Net 45,Approved,08-06-2024
INV000169,FreshFarm Produce,"386 Shane Harbors, Port Lindachester, MA 36922",2125551034,praviiabi@gmail.com,30-05-2025,Lemon,60,pieces,24.77,87.56,1573.76,Net 45,Rejected,14-07-2025
INV000236,SeaCatch Ltd.,"22691 James Mountain, Tashatown, TX 94967",7135558321,praviiabi@gmail.com,05-01-2024,Paneer,61,kg,11.5,43.05,744.55,Net 30,Approved,04-02-2024
INV000237,Organic Fruits Co.,"192 Frank Light Suite 835, East Lydiamouth, MO 35594",8185553300,praviiabi@gmail.com,23-03-2024,Tomatoes,140,kg,24.48,120.74,3547.94,Net 60,Rejected,22-05-2024
INV000238,OilWell Traders,"341 Michelle Light, Shawnstad, GA 49021",4155557832,praviiabi@gmail.com,26-11-2024,Black Pepper,88,grams,24.73,105.9,2282.14,Net 30,Approved,26-12-2024
INV000239,DessertCart,"433 Jill Springs, New Roberttown, CO 29158",9175552233,praviiabi@gmail.com,18-06-2024,Milk,12,liters,14.59,11.57,186.65,Net 60,Approved,17-08-2024
INV000240,Organic Fruits Co.,"192 Frank Light Suite 835, East Lydiamouth, MO 35594",8185553300,praviiabi@gmail.com,16-05-2024,Spinach,113,kg,1.8,8.07,211.47,Net 30,Approved,15-06-2024
INV000241,DessertCart,"433 Jill Springs, New Roberttown, CO 29158",9175552233,praviiabi@gmail.com,06-02-2025,Mint Leaves,125,grams,2,26.38,276.38,Net 15,Approved,21-02-2025
INV000242,Golden Grains,"16155 Roman Stream Suite 816, New Kellystad, OK 25704",3125556754,praviiabi@gmail.com,26-12-2024,Cumin,98,grams,6.93,20.5,699.64,Net 60,Approved,24-02-2025
INV000243,MeatMaster Co,"71822 Arroyo Expressway, Allisonchester, IL 71187",3235552290,praviiabi@gmail.com,09-02-2024,Bacon,99,kg,2.83,9.31,289.48,Net 30,Approved,10-03-2024
INV000244,Organic Fruits Co.,"192 Frank Light Suite 835, East Lydiamouth, MO 35594",8185553300,praviiabi@gmail.com,08-03-2025,Ginger,127,kg,4.16,62.55,590.87,Net 30,Approved,07-04-2025
INV000245,BeverageBay,"514 Moore Alley Suite 828, Port Colleenhaven, PA 26572",6465559911,praviiabi@gmail.com,12-07-2024,Mutton,112,kg,11.19,144.05,1397.33,Net 30,Approved,11-08-2024
INV000246,OilWell Traders,"341 Michelle Light, Shawnstad, GA 49021",4155557832,praviiabi@gmail.com,04-04-2024,Cream,13,liters,8.36,6.42,115.1,Net 30,Rejected,04-05-2024
INV000247,MeatMaster Co,"71822 Arroyo Expressway, Allisonchester, IL 71187",3235552290,praviiabi@gmail.com,20-12-2024,Mutton,113,kg,6.39,56.18,778.25,Net 30,Approved,19-01-2025
INV000248,OilWell Traders,"341 Michelle Light, Shawnstad, GA 49021",4155557832,praviiabi@gmail.com,13-04-2024,Fish Fillet,93,kg,23.08,214.76,2361.2,Net 45,Approved,28-05-2024
INV000249,SeaCatch Ltd.,"22691 James Mountain, Tashatown, TX 94967",7135558321,praviiabi@gmail.com,26-12-2024,Bacon,41,kg,14.2,29.86,612.06,Net 30,Rejected,25-01-2025
INV000250,Golden Grains,"16155 Roman Stream Suite 816, New Kellystad, OK 25704",3125556754,praviiabi@gmail.com,16-02-2025,Bacon,97,kg,13.43,85.3,1388.01,Net 15,Approved,03-03-2025
INV000251,Organic Fruits Co.,"192 Frank Light Suite 835, East Lydiamouth, MO 35594",8185553300,praviiabi@gmail.com,10-03-2025,Vanilla Essence,79,ml,17.93,163.48,1579.95,Net 60,Rejected,09-05-2025
INV000252,OilWell Traders,"341 Michelle Light, Shawnstad, GA 49021",4155557832,praviiabi@gmail.com,07-04-2025,Yogurt,136,kg,18.94,279.16,2855,Net 30,Rejected,07-05-2025
INV000253,DessertCart,"433 Jill Springs, New Roberttown, CO 29158",9175552233,praviiabi@gmail.com,03-09-2024,Banana,48,kg,22.73,40.66,1131.7,Net 45,Approved,18-10-2024
INV000254,Dairy Delights,"809 Burns Creek, Natashaport, IA 08093",6465551188,praviiabi@gmail.com,09-12-2024,Banana,112,kg,4.58,45.59,558.55,Net 15,Approved,24-12-2024
INV000255,DessertCart,"433 Jill Springs, New Roberttown, CO 29158",9175552233,praviiabi@gmail.com,20-04-2025,Cream,42,liters,9.47,14.65,412.39,Net 30,Pending,20-05-2025
INV000256,Golden Grains,"16155 Roman Stream Suite 816, New Kellystad, OK 25704",3125556754,praviiabi@gmail.com,27-01-2025,Lettuce,15,kg,11.91,11.75,190.4,Net 45,Approved,13-03-2025
INV000257,SeaCatch Ltd.,"22691 James Mountain, Tashatown, TX 94967",7135558321,praviiabi@gmail.com,27-11-2024,Wheat,108,kg,3.62,34.26,425.22,Net 15,Rejected,12-12-2024
INV000258,Organic Fruits Co.,"192 Frank Light Suite 835, East Lydiamouth, MO 35594",8185553300,praviiabi@gmail.com,01-03-2025,Ginger,36,kg,3.59,10.35,139.59,Net 45,Approved,15-04-2025
INV000259,MeatMaster Co,"71822 Arroyo Expressway, Allisonchester, IL 71187",3235552290,praviiabi@gmail.com,12-12-2024,Bread,54,pieces,11.28,57.11,666.23,Net 45,Approved,26-01-2025
INV000260,SeaCatch Ltd.,"22691 James Mountain, Tashatown, TX 94967",7135558321,praviiabi@gmail.com,03-05-2024,Bacon,62,kg,4.83,26.66,326.12,Net 60,Approved,02-07-2024
INV000261,BeverageBay,"514 Moore Alley Suite 828, Port Colleenhaven, PA 26572",6465559911,praviiabi@gmail.com,03-01-2025,Spinach,1,kg,27.94,0.97,28.91,Net 30,Approved,02-02-2025
INV000262,MeatMaster Co,"71822 Arroyo Expressway, Allisonchester, IL 71187",3235552290,praviiabi@gmail.com,15-12-2024,Cream,106,liters,9.69,54.22,1081.36,Net 30,Approved,14-01-2025
INV000263,FreshFarm Produce,"386 Shane Harbors, Port Lindachester, MA 36922",2125551034,praviiabi@gmail.com,20-07-2024,Bread,24,pieces,10.73,22.06,279.58,Net 60,Approved,18-09-2024
INV000264,Dairy Delights,"809 Burns Creek, Natashaport, IA 08093",6465551188,praviiabi@gmail.com,11-07-2024,Milk,116,liters,18.14,200.85,2305.09,Net 60,Approved,09-09-2024
INV000265,Golden Grains,"16155 Roman Stream Suite 816, New Kellystad, OK 25704",3125556754,praviiabi@gmail.com,10-05-2025,Sugar,58,kg,20.69,129.16,1329.18,Net 45,Approved,24-06-2025
INV000266,MeatMaster Co,"71822 Arroyo Expressway, Allisonchester, IL 71187",3235552290,praviiabi@gmail.com,03-08-2024,Mushrooms,14,kg,3.88,5.49,59.81,Net 45,Approved,17-09-2024
INV000267,FreshFarm Produce,"386 Shane Harbors, Port Lindachester, MA 36922",2125551034,praviiabi@gmail.com,08-02-2025,Coriander,49,grams,5.88,13.91,302.03,Net 60,Approved,09-04-2025
INV000268,SeaCatch Ltd.,"22691 James Mountain, Tashatown, TX 94967",7135558321,praviiabi@gmail.com,11-01-2025,Cooking Oil,43,liters,15.82,43.44,723.7,Net 30,Approved,10-02-2025
